INFO:root:Input args: Namespace(dname='MNIST', seeds=[0], architecture='MNIST_CNN', accountant='rdp', individualize='clipping', log_iteration=100, lr=0.6, momentum=0.5, epochs=80, n_workers=6, batch_size=512, max_physical_batch_size=128, delta=1e-05, budgets=[1.0, 10.0, 100.0], ratios=[0.54, 0.37, 0.09], max_grad_norm=0.2, noise_multiplier=3.42529, weights=None, adapt_weights_to_budgets=True, use_cuda='True', save_path='../mnist_extra_results/clipping/MNIST/epochs_80_batch_512_lr_0.6_max_grad_norm_0.2_budgets_1.0_10.0_100.0_ratios_0.54_0.37_0.09_seeds_0', mode='mia', accuracy_log='accuracy.log', assign_budget='even', class_budgets=[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], mia_ndata=60000, mia_count=0, allow_excess=False, save_model='True')
INFO:root:seed: 0,   max_iteration: 9375,   1 epoch ~= 117 iterations
INFO:root:seed: 0,   max_iteration: 9375,   1 epoch ~= 117 iterations
INFO:root:Initializing privacy parameters:   max_grad_norm=0.2,   sample_rate=0.00847457627118644,   noise_multiplier 1.5240478515624998,   individual max_grad_norms=[0.08898788310762651, 0.40112449799196787, 0.7876971608832807]
INFO:root:iteration: 0,   train accuracy: 10.26,   test accuracy: 10.17,   loss: 2.31262,   DP costs: [0.053, 1.705, 7.172],   average batch-size: 513,   best alpha: [111.95, 6.4, 2.6],   time: 1
INFO:root:iteration: 100,   train accuracy: 80.75,   test accuracy: 81.62,   loss: 0.64627,   DP costs: [0.092, 2.326, 15.05],   average batch-size: 505,   best alpha: [110.59, 5.37, 1.9],   time: 13
INFO:root:iteration: 200,   train accuracy: 90.66,   test accuracy: 90.93,   loss: 0.36752,   DP costs: [0.129, 2.559, 17.995],   average batch-size: 507,   best alpha: [97.04, 5.17, 1.8],   time: 25
INFO:root:iteration: 300,   train accuracy: 93.01,   test accuracy: 93.32,   loss: 0.23309,   DP costs: [0.16, 2.746, 20.282],   average batch-size: 509,   best alpha: [81.43, 5.04, 1.74],   time: 39
INFO:root:iteration: 400,   train accuracy: 93.25,   test accuracy: 94.54,   loss: 0.26076,   DP costs: [0.186, 2.912, 22.243],   average batch-size: 511,   best alpha: [72.07, 4.95, 1.7],   time: 53
INFO:root:iteration: 500,   train accuracy: 94.77,   test accuracy: 95.26,   loss: 0.0247,   DP costs: [0.209, 3.064, 24.003],   average batch-size: 516,   best alpha: [65.38, 4.87, 1.67],   time: 66
INFO:root:iteration: 600,   train accuracy: 95.48,   test accuracy: 95.73,   loss: 0.31732,   DP costs: [0.23, 3.206, 25.623],   average batch-size: 513,   best alpha: [60.28, 4.8, 1.64],   time: 81
INFO:root:iteration: 700,   train accuracy: 96.0,   test accuracy: 96.08,   loss: 0.1286,   DP costs: [0.249, 3.34, 27.136],   average batch-size: 506,   best alpha: [56.27, 4.76, 1.62],   time: 94
INFO:root:iteration: 800,   train accuracy: 95.66,   test accuracy: 96.45,   loss: 0.17357,   DP costs: [0.267, 3.469, 28.569],   average batch-size: 505,   best alpha: [53.17, 4.69, 1.61],   time: 108
INFO:root:iteration: 900,   train accuracy: 95.45,   test accuracy: 96.58,   loss: 0.20324,   DP costs: [0.284, 3.593, 29.93],   average batch-size: 511,   best alpha: [50.44, 4.64, 1.58],   time: 123
INFO:root:iteration: 1000,   train accuracy: 96.24,   test accuracy: 96.89,   loss: 0.20579,   DP costs: [0.301, 3.713, 31.238],   average batch-size: 494,   best alpha: [48.06, 4.6, 1.57],   time: 137
INFO:root:iteration: 1100,   train accuracy: 97.12,   test accuracy: 97.02,   loss: 0.06295,   DP costs: [0.316, 3.829, 32.499],   average batch-size: 506,   best alpha: [46.16, 4.55, 1.56],   time: 152
INFO:root:iteration: 1200,   train accuracy: 96.66,   test accuracy: 97.12,   loss: 0.32529,   DP costs: [0.331, 3.942, 33.72],   average batch-size: 502,   best alpha: [44.33, 4.51, 1.55],   time: 167
INFO:root:iteration: 1300,   train accuracy: 96.72,   test accuracy: 97.32,   loss: 0.15119,   DP costs: [0.346, 4.052, 34.903],   average batch-size: 506,   best alpha: [42.75, 4.46, 1.53],   time: 182
INFO:root:iteration: 1400,   train accuracy: 96.94,   test accuracy: 97.35,   loss: 0.14501,   DP costs: [0.36, 4.16, 36.058],   average batch-size: 504,   best alpha: [41.4, 4.42, 1.53],   time: 197
INFO:root:iteration: 1500,   train accuracy: 97.27,   test accuracy: 97.44,   loss: 0.13479,   DP costs: [0.373, 4.265, 37.179],   average batch-size: 523,   best alpha: [40.25, 4.4, 1.52],   time: 212
INFO:root:iteration: 1600,   train accuracy: 96.64,   test accuracy: 97.57,   loss: 0.17533,   DP costs: [0.386, 4.368, 38.28],   average batch-size: 501,   best alpha: [38.97, 4.36, 1.51],   time: 228
INFO:root:iteration: 1700,   train accuracy: 97.54,   test accuracy: 97.65,   loss: 0.19403,   DP costs: [0.399, 4.469, 39.355],   average batch-size: 508,   best alpha: [38.05, 4.32, 1.5],   time: 244
INFO:root:iteration: 1800,   train accuracy: 97.6,   test accuracy: 97.58,   loss: 0.13475,   DP costs: [0.411, 4.569, 40.41],   average batch-size: 511,   best alpha: [36.99, 4.3, 1.49],   time: 259
INFO:root:iteration: 1900,   train accuracy: 97.19,   test accuracy: 97.67,   loss: 0.09451,   DP costs: [0.423, 4.667, 41.446],   average batch-size: 501,   best alpha: [36.11, 4.26, 1.48],   time: 273
INFO:root:iteration: 2000,   train accuracy: 97.01,   test accuracy: 97.75,   loss: 0.06336,   DP costs: [0.435, 4.763, 42.466],   average batch-size: 496,   best alpha: [35.4, 4.22, 1.48],   time: 290
INFO:root:iteration: 2100,   train accuracy: 97.92,   test accuracy: 97.82,   loss: 0.13891,   DP costs: [0.446, 4.858, 43.468],   average batch-size: 512,   best alpha: [34.56, 4.2, 1.47],   time: 305
INFO:root:iteration: 2200,   train accuracy: 97.22,   test accuracy: 97.89,   loss: 0.06035,   DP costs: [0.457, 4.951, 44.456],   average batch-size: 515,   best alpha: [33.87, 4.16, 1.47],   time: 320
